,date,usd,jpy,eur,cny
1352,2009-09-09,"1,228.00","1,327.71","1,779.13",179.83
1353,2009-09-10,"1,223.00","1,326.75","1,782.16",179.1
1354,2009-09-11,"1,222.00","1,344.19","1,783.88",178.98
1355,2009-09-14,"1,226.00","1,354.10","1,786.04",179.56
1356,2009-09-15,"1,216.50","1,334.61","1,775.85",178.14
1357,2009-09-16,"1,207.50","1,337.95","1,775.87",176.9
1358,2009-09-17,"1,206.00","1,331.42","1,777.64",176.67
1359,2009-09-18,"1,209.30","1,326.42","1,775.25",177.12
1360,2009-09-21,"1,206.50","1,310.99","1,768.01",176.7
1361,2009-09-22,"1,201.50","1,315.41","1,776.42",176.01
1362,2009-09-23,"1,196.50","1,314.69","1,770.46",175.3
1363,2009-09-24,"1,191.00","1,314.57","1,757.68",174.47
1364,2009-09-25,"1,185.50","1,308.21","1,740.91",173.62
1365,2009-09-28,"1,195.00","1,333.41","1,746.13",175.04
1366,2009-09-29,"1,188.50","1,323.79","1,733.90",174.09
1367,2009-09-30,"1,178.00","1,311.66","1,720.94",172.56
1368,2009-10-01,"1,174.50","1,305.29","1,713.60",172.06
1369,2009-10-05,"1,172.50","1,304.66","1,714.20",171.76
1370,2009-10-06,"1,170.50","1,312.22","1,723.80",171.46
1371,2009-10-07,"1,170.50","1,326.50","1,721.69",171.46
1372,2009-10-08,"1,166.50","1,321.36","1,724.44",170.88
1373,2009-10-09,"1,164.00","1,304.20","1,715.74",170.55
1374,2009-10-12,"1,171.00","1,294.92","1,720.78",171.59
1375,2009-10-13,"1,169.00","1,298.02","1,726.61",171.26
1376,2009-10-14,"1,164.00","1,306.40","1,734.36",170.55
1377,2009-10-15,"1,156.50","1,291.60","1,728.39",169.41
1378,2009-10-16,"1,163.50","1,276.05","1,735.24",170.44
1379,2009-10-19,"1,169.00","1,291.00","1,746.14",171.25
1380,2009-10-20,"1,167.00","1,293.50","1,746.77",170.96
1381,2009-10-21,"1,177.00","1,298.40","1,761.03",172.4
1382,2009-10-22,"1,193.00","1,305.82","1,786.99",174.73
1383,2009-10-23,"1,182.00","1,287.44","1,776.78",173.14
1384,2009-10-26,"1,176.50","1,280.20","1,768.87",172.32
1385,2009-10-27,"1,185.00","1,287.90","1,765.65",173.52
1386,2009-10-28,"1,194.00","1,309.93","1,771.54",174.89
1387,2009-10-29,"1,193.00","1,316.05","1,758.84",174.72
1388,2009-10-30,"1,184.00","1,299.67","1,754.92",173.4
1389,2009-11-02,"1,184.00","1,314.39","1,746.64",173.42
1390,2009-11-03,"1,183.00","1,313.28","1,747.65",173.26
1391,2009-11-04,"1,181.50","1,304.80","1,741.29",173.08
1392,2009-11-05,"1,182.00","1,308.68","1,751.96",173.14
1393,2009-11-06,"1,168.00","1,290.32","1,737.63",171.09
1394,2009-11-09,"1,159.50","1,285.19","1,734.61",169.86
1395,2009-11-10,"1,160.00","1,290.04","1,736.87",169.91
